Description,Filename,Original URL
"Farmhouse;Farmhouse - Architessa","farmhouse-farmhouse-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/farmhouse_Wow_love_affairs.jpg?v=1711373771"
"Waterjet;","waterjet.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/kaleidoscope_cube_web.jpg?v=1742390663"
"Travertine Look;Travertine Look - Architessa","travertine-look-travertine-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/travertine_fr20.jpg?v=1711373783"
"Backsplash;Backsplash - Architessa","backsplash-backsplash-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Backsplash_Tile_-_Overlook.png?v=1711373766"
"Resin;","resin.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/seton_petrolio_amaranto.png?v=1742390927"
"Textured Look;","textured-look.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Luna-Splitface-and-Stone-Tiles-web.jpg?v=1729529434"
"Slate Look;","slate-look.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/atlas_slate_black_nat_mosaico_particolare_bagno.jpg?v=1742389701"
"Marble Look;Marble Look - Architessa","marble-look-marble-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/marble_look_art_house_rel.jpg?v=1711373775"
"Metallic Look;Metallic Look - Architessa","metallic-look-metallic-look-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Metallic_05067d27-8f4c-4ed9-be03-19198fe80960.png?v=1711373775"
"Monochromatic;Monochromatic - Architessa","monochromatic-monochromatic-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/monochromatic_hustle_hex.jpg?v=1711373775"
"Limestone & Sandstone Look;Limestone & Sandstone Look - Architessa","limestone-sandstone-look-limestone-sandstone-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/limestone_entrada.jpg?v=1711373775"
"Glass Tile;Glass Tile - Architessa","glass-tile-glass-tile-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/install_Tuxedo_Park_Bugle_Blue_Blend_Mosaic_Bathroom_Shower_Hillsdale_NY_1000x_1080x_ac751582-010a-456b-a09f-f516e3832249.webp?v=1711373771"
